"Name","Source","Rarity","Type","Attunement","Properties","Weight","Value","Text"
"Drum","PHB","none","instrument","","","3 lb.","6 gp","See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Dulcimer","PHB","none","instrument","","","10 lb.","25 gp","See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Dungeoneer's Pack","PHB","none","adventuring gear","","","61½ lb.","12 gp","Includes:a backpacka crowbara hammer10 pitons10 torchesa tinderbox10 days of rationsa waterskin50 feet of hempen rope"
"Dynamite (stick)","DMG","none","modern, explosive","","","1 lb.","","As an action, a creature can light a stick of dynamite and throw it at a point up to 60 feet away. Each creature within 5 feet of that point must make a DC 12 Dexterity saving throw, taking 3d6 bludgeoning damage on a failed save, or half as much damage on a successful one.A character can bind sticks of dynamite together so they explode at the same time. Each additional stick increases the damage by 1d6 (to a maximum of 10d6) and the burst radius by 5 feet (to a maximum of 20 feet).Dynamite can be rigged with a longer fuse to explode after a set amount of time, usually 1 to 6 rounds. Roll initiative for the dynamite. After the set number of rounds goes by, the dynamite explodes on that initiative."
"Electrum (ep)","PHB","none","treasure","","","0.32 oz.","5 sp","Common coins come in several different denominations based on the relative worth of the metal from which they are made. The three most common coins are the gold piece (gp), the silver piece (sp), and the copper piece (cp).With one gold piece, a character can buy a belt pouch, 50 feet of good rope, or a goat. A skilled (but not exceptional) artisan can earn one gold piece a day. The gold piece is the standard unit of measure for wealth, even if the coin itself is not commonly used. When merchants discuss deals that involve goods or services worth hundreds or thousands of gold pieces, the transactions don't usually involve the exchange of individual coins. Rather, the gold piece is a standard measure of value, and the actual exchange is in gold bars, letters of credit, or valuable goods.One gold piece is worth ten silver pieces, the most prevalent coin among commoners. A silver piece buys a laborer's work for a day, a flask of lamp oil, or a night's rest in a poor inn.One silver piece is worth ten copper pieces, which are common among laborers and beggars. A single copper piece buys a candle, a torch, or a piece of chalk.In addition, unusual coins made of other precious metals sometimes appear in treasure hoards. The electrum piece (ep) and the platinum piece (pp) originate from fallen empires and lost kingdoms, and they sometimes arouse suspicion and skepticism when used in transactions. An electrum piece is worth five silver pieces, and a platinum piece is worth ten gold pieces.A standard coin weighs about a third of an ounce, so fifty coins weigh a pound."
"Electrum 50-Zib Coin","GGR","none","treasure","","","","5 sp",""
"Elephant","PHB","none","mount","","Speed: 40, Carrying Capacity: 1320 lb.","","200 gp",""
"Elven Trinket","MTF","none","adventuring gear","","","","","d8Trinket1A small notebook that causes anything written in it to disappear after 1 hour2A crystal lens made of ivory and gold that causes anything observed through it to appear to be surrounded by motes of multicolored light3A small golden pyramid inscribed with elven symbols and about the size of a walnut4A cloak pin made from enamel in the shape of a butterfly; when you take the pin off, it turns into a real butterfly, and returns when you are ready to put your cloak back on again5A golden compass that points toward the nearest portal to the Feywild within 10 miles6A small silver spinning top that, when spun, endlessly spins until interrupted7A small songbird made of enamel, gold wire, and precious stone; uttering the songbird's name in Elvish causes the trinket to emit that bird's birdsong8A small enamel flower that, when put in one's hair, animates, tying back the wearer's hair with a living vine with flowers; plucking a single flower from this vine returns it to its inanimate form"
"Emblem","PHB","none","spellcasting focus","","","","5 gp","A holy symbol is a representation of a god or pantheon.A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield."
"Embroidered glove set with jewel chips","DMG","none","treasure","","","","2,500 gp",""
"Embroidered silk and velvet mantle set with numerous moonstones","DMG","none","treasure","","","","2,500 gp",""
"Embroidered silk handkerchief","DMG","none","treasure","","","","25 gp",""
"Emerald","DMG","none","treasure","","","","1,000 gp","A transparent deep bright green gemstone."
"Energy Cell","DMG","none","futuristic, ammunition","","","5 oz.","",""
"Entertainer's Pack","PHB","none","adventuring gear","","","38 lb.","40 gp","Includes:a backpacka bedroll2 costumes5 candles5 days of rationsa waterskina disguise kit"
"Essence of Ether","DMG","none","adventuring gear, poison (inhaled)","","","","300 gp","A creature subjected to this poison must succeed on a DC 15 Constitution saving throw or become poisoned for 8 hours. The poisoned creature is unconscious. The creature wakes up if it takes damage or if another creature takes an action to shake it awake."
"Exotic Saddle","PHB","none","tack and harness","","","40 lb.","60 gp","An exotic saddle is required for riding any aquatic or flying mount."
"Explorer's Pack","PHB","none","adventuring gear","","","59 lb.","10 gp","Includes:a backpacka bedrolla mess kita tinderbox10 torches10 days of rationsa waterskin50 feet of hempen rope"
"Explosive Seed","EGW","none","adventuring gear","","","","","This acorn-sized sphere of brass contains a small amount of blasting powder and a clockwork trigger. An explosive seed can be thrown up to 30 feet as an action, detonating on impact. Each creature within 5 feet of the exploding seed must make a DC 10 Dexterity saving throw, taking 1d8 bludgeoning damage on a failed save, or half as much damage on a successful one."
"Eye Agate","DMG","none","treasure","","","","10 gp","A translucent circles of gray, white, brown, blue, or green gemstone."
"Eye patch with a mock eye set in blue sapphire and moonstone","DMG","none","treasure","","","","2,500 gp",""
"Feed (per day)","PHB","none","tack and harness","","","10 lb.","5 cp",""
"Fine Clothes","PHB","none","adventuring gear","","","6 lb.","15 gp",""
"Fine Wine (Bottle)","PHB","none","food and drink","","","","10 gp",""
"Fine gold chain set with a fire opal","DMG","none","treasure","","","","2,500 gp",""
"Fire Opal","DMG","none","treasure","","","","1,000 gp","A translucent fiery red gemstone worth."
"Fishing Tackle","PHB","none","adventuring gear","","","4 lb.","1 gp","This kit includes a wooden rod, silken line, corkwood bobbers, steel hooks, lead sinkers, velvet lures, and narrow netting."
"Flail","PHB","none","martial weapon, melee weapon","","1d8, bludgeoning","2 lb.","10 gp",""
"Flask","PHB","none","adventuring gear","","","1 lb.","2 cp","A flask holds 1 pint of liquid."
"Flensing Claws","VGM","unknown","other","","slashing","","","Illithids don't always provide their thralls with normal weapons, such as swords and axes. Sometimes they improve the natural capabilities of thralls by giving them new anatomy. Flensing claws take the form of articulated digits that extend into long metal blades. The claws are knitted into the flesh and bones of a creature's arms and can't be removed without surgical amputation.Each set of flensing claws is designed for a specific creature and can't be used by anyone else. A creature equipped with flensing claws can use its action to make one melee weapon attack with the claws. The claws deal slashing damage based on the creature's size. The creature adds its proficiency bonus and Strength modifier to any attack roll made with the claws, and its Strength modifier to its damage roll when it hits a target with the claws. Tiny and Gargantuan creatures can't be fitted with flensing claws.Multiple variations of this item exist, as listed below:Flensing Claws (Small)Flensing Claws (Medium)Flensing Claws (Large)Flensing Claws (Huge)"
"Flensing Claws (Huge)","VGM","unknown","other","","2d8, slashing","","","Flensing claws take the form of articulated digits that extend into long metal blades. The claws are knitted into the flesh and bones of a creature's arms and can't be removed without surgical amputation.Each set of flensing claws is designed for a specific creature and can't be used by anyone else. A creature equipped with flensing claws can use its action to make one melee weapon attack with the claws. The creature adds its proficiency bonus and Strength modifier to any attack roll made with the claws, and its Strength modifier to its damage roll when it hits a target with the claws."
"Flensing Claws (Large)","VGM","unknown","other","","1d12, slashing","","","Flensing claws take the form of articulated digits that extend into long metal blades. The claws are knitted into the flesh and bones of a creature's arms and can't be removed without surgical amputation.Each set of flensing claws is designed for a specific creature and can't be used by anyone else. A creature equipped with flensing claws can use its action to make one melee weapon attack with the claws. The creature adds its proficiency bonus and Strength modifier to any attack roll made with the claws, and its Strength modifier to its damage roll when it hits a target with the claws."
"Flensing Claws (Medium)","VGM","unknown","other","","1d10, slashing","","","Flensing claws take the form of articulated digits that extend into long metal blades. The claws are knitted into the flesh and bones of a creature's arms and can't be removed without surgical amputation.Each set of flensing claws is designed for a specific creature and can't be used by anyone else. A creature equipped with flensing claws can use its action to make one melee weapon attack with the claws. The creature adds its proficiency bonus and Strength modifier to any attack roll made with the claws, and its Strength modifier to its damage roll when it hits a target with the claws."
"Flensing Claws (Small)","VGM","unknown","other","","1d8, slashing","","","Flensing claws take the form of articulated digits that extend into long metal blades. The claws are knitted into the flesh and bones of a creature's arms and can't be removed without surgical amputation.Each set of flensing claws is designed for a specific creature and can't be used by anyone else. A creature equipped with flensing claws can use its action to make one melee weapon attack with the claws. The creature adds its proficiency bonus and Strength modifier to any attack roll made with the claws, and its Strength modifier to its damage roll when it hits a target with the claws."
"Flour","PHB","none","trade good","","","1 lb.","2 cp",""
"Flute","PHB","none","instrument","","","1 lb.","2 gp","See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Forgery Kit","PHB","none","tools","","","5 lb.","15 gp","This small box contains a variety of papers and parchments, pens and inks, seals and sealing wax, gold and silver leaf, and other supplies necessary to create convincing forgeries of physical documents. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to create a physical forgery of a document.A forgery kit is designed to duplicate documents and to make it easier to copy a person's seal or signature. Components. A forgery kit includes several different types of ink, a variety of parchments and papers, several quills, seals and sealing wax, gold and silver leaf, and small tools to sculpt melted wax to mimic a seal. Arcana. A forgery kit can be used in conjunction with the Arcana skill to determine if a magic item is real or fake. Deception. A well-crafted forgery, such as papers proclaiming you to be a noble or a writ that grants you safe passage, can lend credence to a lie. History. A forgery kit combined with your knowledge of history improves your ability to create fake historical documents or to tell if an old document is authentic. Investigation. When you examine objects, proficiency with a forgery kit is useful for determining how an object was made and whether it is genuine. Other Tools. Knowledge of other tools makes your forgeries that much more believable. For example, you could combine proficiency with a forgery kit and proficiency with cartographer's tools to make a fake map. Quick Fake. As part of a short rest, you can produce a forged document no more than one page in length. As part of a long rest, you can produce a document that is up to four pages long. Your Intelligence check using a forgery kit determines the DC for someone else's Intelligence (Investigation) check to spot the fake.Forgery KitActivityDCMimic handwriting15Duplicate a wax seal20See the Tool Proficiencies entry for more information."
"Fragmentation Grenade","DMG","none","modern, explosive","","","1 lb.","","As an action, a character can throw a grenade at a point up to 60 feet away. With a grenade launcher, the character can propel the grenade up to 120 feet away.Each creature with 20 feet of an exploding fragmentation grenade must make a DC 15 Dexterity saving throw, taking 5d6 piercing damage on a failed save, or half as much damage on a successful one."
"Galley","DMG","none","vehicle (water)","","Speed: 4 mphCarrying Capacity: 150 tons cargoCrew 80, AC 15, HP 500, Damage Threshold 20","","30,000 gp",""
"Gaming Set","PHB","none","gaming set","","","","","Multiple variations of this item exist, as listed below:Dice SetDragonchess SetPlaying Card SetThree-Dragon Ante SetSee the Tool Proficiencies entry for more information.Proficiency with a gaming set applies to one type of game, such as Three-Dragon Ante or games of chance that use dice. Components. A gaming set has all the pieces needed to play a specific game or type of game, such as a complete deck of cards or a board and tokens. History. Your mastery of a game includes knowledge of its history, as well as of important events it was connected to or prominent historical figures involved with it. Insight. Playing games with someone is a good way to gain understanding of their personality, granting you a better ability to discern their lies from their truths and read their mood. Sleight of Hand. Sleight of Hand is a useful skill for cheating at a game, as it allows you to swap pieces, palm cards, or alter a die roll. Alternatively, engrossing a target in a game by manipulating the components with dexterous movements is a great distraction for a pickpocketing attempt.Gaming SetActivityDCCatch a player cheating15Gain insight into an opponent's personality15"
"Garnet","DMG","none","treasure","","","","100 gp","A transparent red, brown-green, or violet gemstone."
"Ginger","PHB","none","trade good","","","1 lb.","1 gp",""
"Glaive","PHB","none","martial weapon, melee weapon","","1d10, slashing, - heavy, reach, two-handed","6 lb.","20 gp","Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Glass Bottle","PHB","none","adventuring gear","","","2 lb.","2 gp","A bottle holds 1½ pints of liquid."
"Glassblower's Tools","PHB","none","artisan's tools","","","5 lb.","30 gp","Someone who is proficient with glassblower's tools has not only the ability to shape glass, but also specialized knowledge of the methods used to produce glass objects. Components. The tools include a blowpipe, a small marver, blocks, and tweezers. You need a source of heat to work glass. Arcana, History. Your knowledge of glassmaking techniques aids you when you examine glass objects, such as potion bottles or glass items found in a treasure hoard. For instance, you can study how a glass potion bottle has been changed by its contents to help determine a potion's effects. (A potion might leave behind a residue, deform the glass, or stain it.) Investigation. When you study an area, your knowledge can aid you if the clues include broken glass or glass objects. Identify Weakness. With 1 minute of study, you can identify the weak points in a glass object. Any damage dealt to the object by striking a weak spot is doubled.Glassblower's ToolsActivityDCIdentify source of glass10Determine what a glass object once held20See the Tool Proficiencies entry for more information."
"Glaur","SCAG","none","instrument","","","","","Short, curved horns like a cornucopia. Played with valves, glaur sound like trumpets, while those without valves, known as gloon, have a more mournful sound.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Goat","PHB","none","trade good","","","","1 gp",""
"Gold","PHB","none","trade good","","","1 lb.","50 gp",""
"Gold (gp)","PHB","none","treasure","","","0.32 oz.","1 gp","Common coins come in several different denominations based on the relative worth of the metal from which they are made. The three most common coins are the gold piece (gp), the silver piece (sp), and the copper piece (cp).With one gold piece, a character can buy a belt pouch, 50 feet of good rope, or a goat. A skilled (but not exceptional) artisan can earn one gold piece a day. The gold piece is the standard unit of measure for wealth, even if the coin itself is not commonly used. When merchants discuss deals that involve goods or services worth hundreds or thousands of gold pieces, the transactions don't usually involve the exchange of individual coins. Rather, the gold piece is a standard measure of value, and the actual exchange is in gold bars, letters of credit, or valuable goods.One gold piece is worth ten silver pieces, the most prevalent coin among commoners. A silver piece buys a laborer's work for a day, a flask of lamp oil, or a night's rest in a poor inn.One silver piece is worth ten copper pieces, which are common among laborers and beggars. A single copper piece buys a candle, a torch, or a piece of chalk.In addition, unusual coins made of other precious metals sometimes appear in treasure hoards. The electrum piece (ep) and the platinum piece (pp) originate from fallen empires and lost kingdoms, and they sometimes arouse suspicion and skepticism when used in transactions. An electrum piece is worth five silver pieces, and a platinum piece is worth ten gold pieces.A standard coin weighs about a third of an ounce, so fifty coins weigh a pound."
"Gold 5-Zib Coin","GGR","none","treasure","","","","5 gp",""
"Gold Zino","GGR","none","treasure","","","","1 gp",""
"Gold bird cage with electrum filigree","DMG","none","treasure","","","","250 gp",""
"Gold circlet set with four aquamarines","DMG","none","treasure","","","","2,500 gp",""
"Gold cup set with emeralds","DMG","none","treasure","","","","7,500 gp",""
"Gold dragon comb set with red garnets as eyes","DMG","none","treasure","","","","750 gp",""
"Gold jewelry box with platinum filigree","DMG","none","treasure","","","","7,500 gp",""
"Gold locket with a painted portrait inside","DMG","none","treasure","","","","25 gp",""
"Gold music box","DMG","none","treasure","","","","2,500 gp",""
"Gold ring set with bloodstones","DMG","none","treasure","","","","250 gp",""
"Grappling Hook","PHB","none","adventuring gear","","","4 lb.","2 gp",""
"Greataxe","PHB","none","martial weapon, melee weapon","","1d12, slashing, - heavy, two-handed","7 lb.","30 gp","Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Greatclub","PHB","none","simple weapon, melee weapon","","1d8, bludgeoning, - two-handed","10 lb.","2 sp","Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Greatsword","PHB","none","martial weapon, melee weapon","","2d6, slashing, - heavy, two-handed","6 lb.","50 gp","Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Grenade Launcher","DMG","none","modern, explosive","","","7 lb.","","As an action, a character can throw a grenade at a point up to 60 feet away. With a grenade launcher, the character can propel the grenade up to 120 feet away."
"Gunpowder Horn","DMG","none","renaissance, explosive","","","2 lb.","35 gp","Gunpowder is chiefly used to propel a bullet out of the barrel of a pistol or rifle, or it is formed into a bomb. Gunpowder is sold in small wooden kegs or in water-resistant powder horns.Setting fire to a container full of gunpowder can cause it to explode, dealing fire damage to creatures within 10 feet of it (3d6 for a powder horn, 7d6 for a keg). A successful DC 12 Dexterity saving throw halves the damage. Setting fire to an ounce of gunpowder causes it to flare for 1 round, shedding bright light in a 30-foot radius and dim light for an additional 30 feet."
"Gunpowder Keg","DMG","none","renaissance, explosive","","","20 lb.","250 gp","Gunpowder is chiefly used to propel a bullet out of the barrel of a pistol or rifle, or it is formed into a bomb. Gunpowder is sold in small wooden kegs or in water-resistant powder horns.Setting fire to a container full of gunpowder can cause it to explode, dealing fire damage to creatures within 10 feet of it (3d6 for a powder horn, 7d6 for a keg). A successful DC 12 Dexterity saving throw halves the damage. Setting fire to an ounce of gunpowder causes it to flare for 1 round, shedding bright light in a 30-foot radius and dim light for an additional 30 feet."
"Halberd","PHB","none","martial weapon, melee weapon","","1d10, slashing, - heavy, reach, two-handed","6 lb.","20 gp","Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Half Plate Armor","PHB","none","medium armor","","AC 15 + Dex (max 2)","40 lb.","750 gp","Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps.The wearer has disadvantage on Dexterity (Stealth) checks."
"Hammer","PHB","none","adventuring gear","","","3 lb.","1 gp",""
"Hand Crossbow","PHB","none","martial weapon, ranged weapon","","1d6, piercing, - ammunition (30/120 ft.), light, loading","3 lb.","75 gp","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make."
"Hand Drum","SCAG","none","instrument","","","","","A double-headed skin drum fitted with handles along its side.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Handaxe","PHB","none","simple weapon, melee weapon","","1d6, slashing, - light, thrown (20/60 ft.)","2 lb.","5 gp","Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
"Harbor Moon","WDH","none","treasure","","","","50 gp","Platinum crescent inset with electrum, about three inches long with a hole large enough for a nib to fit in (1 harbor moon = 5,000 nibs)"
"Healer's Kit","PHB","none","adventuring gear","","","3 lb.","5 gp","This kit is a leather pouch containing bandages, salves, and splints. The kit has ten uses. As an action, you can expend one use of the kit to stabilize a creature that has 0 hit points, without needing to make a Wisdom (Medicine) check."
"Heavy Crossbow","PHB","none","martial weapon, ranged weapon","","1d10, piercing, - ammunition (100/400 ft.), heavy, loading, two-handed","18 lb.","50 gp","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Hematite","DMG","none","treasure","","","","10 gp","An opaque gray-black gemstone."
"Hempen Rope (50 feet)","PHB","none","adventuring gear","","","10 lb.","1 gp","Rope, whether made of hemp or silk, has 2 hit points and can be burst with a DC 17 Strength check."
"Herbalism Kit","PHB","none","tools","","","3 lb.","5 gp","This kit contains a variety of instruments such as clippers, mortar and pestle, and pouches and vials used by herbalists to create remedies and potions. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to identify or apply herbs. Also, proficiency with this kit is required to create antitoxin and potions of healing.Proficiency with an herbalism kit allows you to identify plants and safely collect their useful elements. Components. An herbalism kit includes pouches to store herbs, clippers and leather gloves for collecting plants, a mortar and pestle, and several glass jars. Arcana. Your knowledge of the nature and uses of herbs can add insight to your magical studies that deal with plants and your attempts to identify potions. Investigation. When you inspect an area overgrown with plants, your proficiency can help you pick out details and clues that others might miss. Medicine. Your mastery of herbalism improves your ability to treat illnesses and wounds by augmenting your methods of care with medicinal plants. Nature and Survival. When you travel in the wild, your skill in herbalism makes it easier to identify plants and spot sources of food that others might overlook. Identify Plants. You can identify most plants with a quick inspection of their appearance and smell.Herbalism KitActivityDCFind plants15Identify poison20See the Tool Proficiencies entry for more information."
"Hide Armor","PHB","none","medium armor","","AC 12 + Dex (max 2)","12 lb.","10 gp","This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor."
"Holy Symbol","PHB","none","spellcasting focus","","","","","A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic. A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield.Multiple variations of this item exist, as listed below:AmuletEmblemReliquary"
"Holy Water (flask)","PHB","none","adventuring gear","","","1 lb.","25 gp","As an action, you can splash the contents of this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. In either case, make a ranged attack against a target creature, treating the holy water as an improvised weapon. If the target is a fiend or undead, it takes 2d6 radiant damage.A cleric or paladin may create holy water by performing a special ritual. The ritual takes 1 hour to perform, uses 25 gp worth of powdered silver, and requires the caster to expend a 1st-level spell slot."
"Hooded Lantern","PHB","none","adventuring gear","","","2 lb.","5 gp","A hooded lantern casts bright light in a 30-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil. As an action, you can lower the hood, reducing the light to dim light in a 5-foot radius."
"Hooked Shortspear","OotA","unknown","martial weapon, melee weapon","","1d4, piercing, - light","2 lb.","","On a hit with this weapon, the wielder can forgo dealing damage and attempt to trip the target, in which case the target must succeed on a Strength saving throw or fall prone. The DC is 8 + the wielder's Strength modifier + the wielder's proficiency bonus. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
"Horn","PHB","none","instrument","","","2 lb.","3 gp","See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Hourglass","PHB","none","adventuring gear","","","1 lb.","25 gp",""
"Hunk of Cheese","PHB","none","food and drink","","","","1 sp",""
"Hunting Rifle","DMG","none","firearm, modern, martial weapon, ranged weapon","","2d10, piercing, - ammunition (80/240 ft.), reload (5 shots), two-handed","8 lb.","","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. The ammunition of a firearm is destroyed upon use.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Reload. A limited number of shots can be made with a weapon that has the reload property. A character must then reload it using an action or a bonus action (the character's choice). Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Hunting Trap","PHB","none","adventuring gear","","","25 lb.","5 gp","When you use your action to set it, this trap forms a saw-toothed steel ring that snaps shut when a creature steps on a pressure plate in the center. The trap is affixed by a heavy chain to an immobile object, such as a tree or a spike driven into the ground. A creature that steps on the plate must succeed on a DC 13 Dexterity saving throw or take 1d4 piercing damage and stop moving. Thereafter, until the creature breaks free of the trap, its movement is limited by the length of the chain (typically 3 feet long). A creature can use its action to make a DC 13 Strength check, freeing itself or another creature within its reach on a success. Each failed check deals 1 piercing damage to the trapped creature."
